date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:00	3554/3554	---M-Z	200	added ('OK')	text/plain	date:Thu,%2019%20May%202022%2018:49:30%20GMT	https://tl-centre.ge/robots.txt		(from )
16:09:01	27242/27242	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2012:09:13%20GMT	https://tl-centre.ge/	C:/My%20Web%20Sites/tl-center/tl-centre.ge/index.html	(from )
16:09:01	15086/15086	---M-Z	200	added ('OK')	image/x-icon	date:Sun,%2027%20Mar%202022%2016:34:02%20GMT	https://tl-centre.ge/img/icons/logo.ico	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/icons/logo.ico	(from https://tl-centre.ge/)
16:09:01	35190/35190	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Mar%202022%2016:34:02%20GMT	https://tl-centre.ge/img/logo-fb-share.jpg	C:/My%20Web%20Sites/tl-center/tl-centre.ge/img/logo-fb-share.jpg	(from https://tl-centre.ge/)
16:09:01	14512/14512	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202022%2011:32:04%20GMT	https://tl-centre.ge/css/header.css?v=1677845353	C:/My%20Web%20Sites/tl-center/tl-centre.ge/css/header2e29.css	(from https://tl-centre.ge/)
16:09:01	1627/1627	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20Aug%202022%2022:02:13%20GMT	https://tl-centre.ge/css/geo.css?v=1677845353	C:/My%20Web%20Sites/tl-center/tl-centre.ge/css/geo2e29.css	(from https://tl-centre.ge/)
16:09:02	2286/2286	---M-Z	200	added ('OK')	text/css	date:Mon,%2023%20May%202022%2018:22:50%20GMT	https://tl-centre.ge/css/screen.css?v=1677845353	C:/My%20Web%20Sites/tl-center/tl-centre.ge/css/screen2e29.css	(from https://tl-centre.ge/)
16:09:03	1939/1939	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2027%20Mar%202022%2016:34:54%20GMT	https://tl-centre.ge/js/script.js	C:/My%20Web%20Sites/tl-center/tl-centre.ge/js/script.js	(from https://tl-centre.ge/)
16:09:03	92629/92629	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-169d5%22	https://code.jquery.com/jquery-1.9.1.min.js	C:/My%20Web%20Sites/tl-center/code.jquery.com/jquery-1.9.1.min.js	(from https://tl-centre.ge/)
16:09:03	2227/2227	---M-Z	200	added ('OK')	text/css	date:Sun,%2027%20Mar%202022%2016:33:52%20GMT	https://tl-centre.ge/css/menu.css	C:/My%20Web%20Sites/tl-center/tl-centre.ge/css/menu.css	(from https://tl-centre.ge/)
